iso3,country,year,sub_region_name,region_name,sdg_region,variable,question_number,source_name,population,count,comment_from_country,sex,Order 
AUS,Australia,2024,Australia and New Zealand,Oceania,Australia and New Zealand (M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,26713205,0.9,,female,4
BEL,Belgium,2024,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,11738763.5,1.5,,female,4
BRA,Brazil,2019,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Sexual violence Females,7.1.9,SDG,207455459.5,1,,female,4
CHE,Switzerland,2021,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,8707023.5,0.5,,female,4
CMR,Cameroon,2018,Middle Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Sexual violence Females,7.1.9,SDG,24806383,5.2,,female,4
DEU,Germany,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,83628708.5,3.6,,female,4
FIN,Finland,2023,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,5601185.5,3,,female,4
FRA,France,2023,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Females,7.1.9,SDG,66438822,1,,female,4
GBR_E_W,United Kingdom (England and Wales),2018,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,59115809,4.5,,female,4
GTM,Guatemala,2019,Central America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,17103802.5,3.9,,female,4
KOR,Republic of Korea,2016,Eastern Asia,Asia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,51297839,0.1,,female,4
LUX,Luxembourg,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Females,7.1.9,SDG,630597,3.800828203,,female,4
LVA,Latvia,2021,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Females,7.1.9,SDG,1885587,9,,female,4
MEX,Mexico,2024,Central America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,130861007,2.5,"Fuente: Encuesta Nacional de Victimización y Percepción de Seguridad Pública (ENVIPE), 2022, 2023, 2024 y 2025.",female,4
NZL,New Zealand,2024,Australia and New Zealand,Oceania,Australia and New Zealand (M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,5213944,3,,female,4
SVN,Slovenia,2020,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Sexual violence Females,7.1.9,CTS,2102419.5,0.66,,female,4
UGA,Uganda,2022,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Sexual violence Females,7.1.9,SDG,47312719.5,12.7,,female,4
BRA,Brazil,2019,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Psychological violence Males,7.1.12,SDG,207455459.5,16,,male,5
DEU,Germany,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Males,7.1.12,SDG,83628708.5,7.6,,male,5
EST,Estonia,2024,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Males,7.1.12,CTS,1360546,17.8,,male,5
FIN,Finland,2023,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Males,7.1.12,CTS,5601185.5,8.4,,male,5
HRV,Croatia,2022,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Males,7.1.12,CTS,3907027,21.9,,male,5
ITA,Italy,2023,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Males,7.1.12,CTS,59499453,1,,male,5
LUX,Luxembourg,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Psychological violence Males,7.1.12,CTS,630597,14.09745687,,male,5
MEX,Mexico,2024,Central America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Psychological violence Males,7.1.12,CTS,130861007,6.5,"Fuente: Encuesta Nacional de Victimización y Percepción de Seguridad Pública (ENVIPE), 2022, 2023, 2024 y 2025.",male,5
